Rank,Pisciner,Level
1,seli,8.90
2,ecampos-,8.30
3,gfielder,7.64
4,mchi,7.31
5,smoissel,7.27
6,hxu,6.66
7,thwillia,6.54
8,zfaria,6.53
9,alamit,6.34
10,arosen-g,6.18
11,qleon,6.15
12,hirenpat,6.03
13,zmagauin,5.74
14,akawa,5.68
15,nkirkby,5.59
16,didgonza,5.52
17,olayvazy,5.35
18,kchenna,5.26
19,alukashe,5.20
20,lixiong,5.20
21,tmathevo,5.10
22,thjiang,5.09
23,sichong,4.76
24,tsaura-n,4.48
25,awindham,4.36
26,jmbomeyo,4.23
27,andrmart,4.05
28,marrodri,4.03
29,myared,4.01
30,madonis,3.93
31,pqueiroz,3.92
32,samhatti,3.85
33,mkang,3.76
34,sgong,3.66
35,rpapagna,3.53
36,yxie,3.50
37,pdzhelep,3.46
38,alabarre,3.38
39,lisimpki,3.33
40,danguyen,3.30
41,klozano-,3.30
42,shat,3.26
43,gabrady,3.07
44,hdomingu,3.01
45,ashanbha,2.88
46,eubotnar,2.82
47,mschroed,2.64
48,atiwari,2.62
49,eidawson,2.39
50,bmunoz,2.33
51,kroli,2.32
52,jamooney,2.23
53,jinpark,2.14
54,jawanjir,2.02
55,jgabelho,1.99
56,anttran,1.95
57,ejacalne,1.94
58,hottola,1.90
59,splumb,1.85
60,jchiang-,1.81
61,ehampton,1.79
62,gnellore,1.74
63,raaliyev,1.74
64,fralvara,1.65
65,rtsaturi,1.64
66,mrivera,1.50
67,sbrinkma,1.50
68,cqu,1.39
69,faguilar,1.35
70,uamirov,1.34
71,elllee,1.32
72,dwise,1.22
73,jvelasco,1.21
74,muhelfah,1.06
75,dgallagh,1.05
76,rocola,1.05
77,raramos,1.03
78,ankim,0.99
79,paudorsa,0.88
80,mokerlun,0.79
81,mstenzel,0.76
82,dchhoeun,0.72
83,pasorys,0.72
84,kkostyle,0.67
85,frsiika,0.53
86,tyamada-,0.53
87,skthomas,0.50
88,jtownley,0.49
89,hflores,0.47
90,jmuldrow,0.27
91,branguye,0.26
92,carocha,0.26
93,nsalas,0.26
94,komar,0.25
95,ctanner,0.23
96,emiller,0.23
97,lsung-yu,0.23
98,tmorriso,0.23
99,ibizyaye,0.21
100,stulei,0.21
,,
unranked,agolunov,0.00
unranked,aprasad,0.00
unranked,apsharma,0.00
unranked,arobles,0.00
unranked,avasin,0.00
unranked,bakidi,0.00
unranked,brcastro,0.00
unranked,btorres,0.00
unranked,cjohnson,0.00
unranked,dtraore,0.00
unranked,eikekhid,0.00
unranked,elescami,0.00
unranked,iokbazgh,0.00
unranked,jhurtado,0.00
unranked,jhutchin,0.00
unranked,jrosas,0.00
unranked,kfaison,0.00
unranked,kkazama,0.00
unranked,ldeanda,0.00
unranked,msoares-,0.00
unranked,rcarranz,0.00
unranked,syagan,0.00
unranked,vlei,0.00
,,
Total Pisciners,,123
Total Survivors,,100
Total Drowned,,23
Piscine Level,,2.90
